 ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.802422356046;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.002009087739;0.000005204891;0.011768257455;0.029490909659;0.003471661974;0.006271893071;0.011721413440;0.011523627600;0.001545852483;0.006438449567;0.002102775768;0.003627808689;0.004533459639;0.001363681315;0.001030568322;0.011580881396;0.001467779125;0.000770323796;0.003201007667;0.004673991683;0.002566011024;0.004673991683;0.002409864309;0.029693900389;0.003320720149;0.004543869420;0.002441093652;0.000005204891;0.000005204891;0.029136977104;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;0.000005204891;
0.000343524562;0.788388869804;0.000343524562;0.000687049124;0.006870491240;0.000687049124;0.000343524562;0.001030573686;0.000343524562;0.002061147372;0.001030573686;0.003435245620;0.002748196496;0.001030573686;0.000343524562;0.001374098248;0.002404671934;0.000687049124;0.001030573686;0.002748196496;0.001030573686;0.007557540364;0.001717622810;0.005839917554;0.003091721058;0.001717622810;0.014084507042;0.011679835108;0.001717622810;0.001030573686;0.046719340433;0.000687049124;0.002404671934;0.003778770182;0.001030573686;0.000343524562;0.000687049124;0.002748196496;0.000687049124;0.001030573686;0.001030573686;0.000687049124;0.002404671934;0.001030573686;0.001374098248;0.001030573686;0.001717622810;0.004122294744;0.002061147372;0.004122294744;0.001374098248;0.001030573686;0.007557540364;0.006870491240;0.001717622810;0.000687049124;0.020954998282;0.001030573686;0.002748196496;0.002404671934;0.000687049124;0.001030573686;0.001374098248;0.001717622810;0.000687049124;0.001030573686;
0.000303214069;0.000303214069;0.796543359612;0.000303214069;0.078835657975;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000909642207;0.000303214069;0.001212856277;0.003032140691;0.002425712553;0.001212856277;0.002728926622;0.002728926622;0.008489993936;0.002728926622;0.007580351728;0.002728926622;0.003638568830;0.005761067314;0.016979987871;0.003335354760;0.001212856277;0.029108550637;0.001819284415;0.001516070346;0.004548211037;0.002728926622;0.000606428138;0.001212856277;0.003335354760;0.000606428138;0.000909642207;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;0.000303214069;
0.000494071146;0.000494071146;0.000494071146;0.817193675889;0.000494071146;0.000494071146;0.043478260870;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.008399209486;0.000494071146;0.001482213439;0.001482213439;0.003952569170;0.004940711462;0.000988142292;0.002470355731;0.000494071146;0.001482213439;0.000494071146;0.000988142292;0.000494071146;0.000494071146;0.000988142292;0.000494071146;0.012845849802;0.000494071146;0.009881422925;0.003952569170;0.002470355731;0.002964426877;0.009387351779;0.001976284585;0.000988142292;0.002964426877;0.003952569170;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.039525691700;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;0.000494071146;
0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.810238305384;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.048543689320;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.002206531333;0.001323918800;0.001323918800;0.002206531333;0.000441306267;0.007060900265;0.001323918800;0.004854368932;0.004854368932;0.003971756399;0.006619593998;0.018976169462;0.001765225066;0.001765225066;0.014121800530;0.001323918800;0.001323918800;0.005295675199;0.002206531333;0.001765225066;0.000882612533;0.002206531333;0.001765225066;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.033980582524;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;0.000441306267;
0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.783454987835;0.026763990268;0.001216545012;0.027980535280;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.004866180049;0.001216545012;0.002433090024;0.003649635036;0.009732360097;0.003649635036;0.003649635036;0.006082725061;0.001216545012;0.006082725061;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.004866180049;0.001216545012;0.002433090024;0.007299270073;0.001216545012;0.003649635036;0.010948905109;0.001216545012;0.003649635036;0.002433090024;0.003649635036;0.001216545012;0.001216545012;0.001216545012;0.026763990268;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;0.001216545012;
0.000668002672;0.000668002672;0.000668002672;0.027388109552;0.000668002672;0.028724114896;0.803607214429;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.003340013360;0.000668002672;0.003340013360;0.002672010688;0.010688042752;0.002672010688;0.002672010688;0.002004008016;0.000668002672;0.000668002672;0.001336005344;0.002004008016;0.000668002672;0.001336005344;0.001336005344;0.001336005344;0.011356045424;0.000668002672;0.005344021376;0.004676018704;0.001336005344;0.002672010688;0.014696058784;0.000668002672;0.003340013360;0.002004008016;0.002004008016;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.000668002672;0.030728122912;0.000668002672;0.000668002672;0.000668002672;0.000668002672;
0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.768648648649;0.029189189189;0.001081081081;0.037837837838;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.005405405405;0.003243243243;0.003243243243;0.002162162162;0.005405405405;0.006486486486;0.002162162162;0.007567567568;0.002162162162;0.003243243243;0.001081081081;0.002162162162;0.002162162162;0.002162162162;0.001081081081;0.002162162162;0.003243243243;0.006486486486;0.005405405405;0.012972972973;0.002162162162;0.002162162162;0.007567567568;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.030270270270;0.001081081081;0.001081081081;0.001081081081;0.001081081081;0.001081081081;
0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.035919540230;0.001436781609;0.028735632184;0.727011494253;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.018678160920;0.005747126437;0.008620689655;0.008620689655;0.005747126437;0.002873563218;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.004310344828;0.004310344828;0.004310344828;0.002873563218;0.005747126437;0.008620689655;0.001436781609;0.002873563218;0.010057471264;0.002873563218;0.004310344828;0.004310344828;0.002873563218;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.037356321839;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;0.001436781609;
0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.731285988484;0.023032629559;0.001919385797;0.026871401152;0.001919385797;0.001919385797;0.003838771593;0.001919385797;0.003838771593;0.001919385797;0.009596928983;0.003838771593;0.009596928983;0.003838771593;0.005758157390;0.001919385797;0.003838771593;0.003838771593;0.003838771593;0.005758157390;0.005758157390;0.005758157390;0.001919385797;0.001919385797;0.009596928983;0.009596928983;0.001919385797;0.001919385797;0.011516314779;0.001919385797;0.003838771593;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.028790786948;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;0.001919385797;
