_; ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.002070969154;0.500000000000;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000976314030;0.000005917055;0.005100501175;0.012662497115;0.001520683065;0.002751430448;0.005230676379;0.004698141453;0.000538451980;0.002863854488;0.000739631841;0.001461512518;0.001840204020;0.000568037254;0.000473364378;0.004721809672;0.000650876020;0.000331355065;0.001325420259;0.001887540458;0.000982231085;0.002094637373;0.001017733413;0.012271971503;0.001431927244;0.001952628060;0.000994065194;0.000005917055;0.000005917055;0.012550073076;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;0.000005917055;
0.000400160064;0.002000800320;0.500000000000;0.000400160064;0.000800320128;0.003601440576;0.001600640256;0.000400160064;0.001200480192;0.000400160064;0.000800320128;0.000400160064;0.001200480192;0.002000800320;0.000400160064;0.000400160064;0.000400160064;0.000800320128;0.000800320128;0.001600640256;0.000400160064;0.000400160064;0.004401760704;0.001200480192;0.001200480192;0.001600640256;0.003201280512;0.009203681473;0.003601440576;0.002801120448;0.001200480192;0.019607843137;0.001200480192;0.000400160064;0.002801120448;0.001200480192;0.000800320128;0.000800320128;0.001600640256;0.000800320128;0.001200480192;0.000400160064;0.000800320128;0.000800320128;0.000400160064;0.000800320128;0.000800320128;0.000400160064;0.001200480192;0.002000800320;0.001600640256;0.001200480192;0.001200480192;0.008003201281;0.001600640256;0.000800320128;0.000400160064;0.007603041216;0.000400160064;0.000400160064;0.001600640256;0.001200480192;0.000400160064;0.001200480192;0.001200480192;0.000400160064;0.000800320128;
0.001434720230;0.000358680057;0.000358680057;0.500000000000;0.000358680057;0.047345767575;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.001434720230;0.000358680057;0.001076040172;0.000717360115;0.002152080344;0.000358680057;0.001076040172;0.001434720230;0.004662840746;0.000358680057;0.002510760402;0.003945480631;0.001793400287;0.006814921090;0.011119081779;0.001076040172;0.000717360115;0.014347202296;0.000717360115;0.001793400287;0.003945480631;0.001434720230;0.000358680057;0.000717360115;0.002152080344;0.001076040172;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;0.000358680057;
0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.500000000000;0.000540832883;0.000540832883;0.022714981071;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.002704164413;0.000540832883;0.000540832883;0.001622498648;0.003785830178;0.002163331531;0.003785830178;0.002163331531;0.000540832883;0.002163331531;0.000540832883;0.001081665765;0.001081665765;0.000540832883;0.000540832883;0.001622498648;0.005408328826;0.001081665765;0.002163331531;0.001622498648;0.001081665765;0.000540832883;0.004867495944;0.000540832883;0.001081665765;0.001622498648;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.017847485127;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;0.000540832883;
0.000950118765;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.500000000000;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.015676959620;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000950118765;0.000950118765;0.001425178147;0.000950118765;0.006175771971;0.002850356295;0.002850356295;0.001900237530;0.001900237530;0.004750593824;0.004750593824;0.000950118765;0.001425178147;0.006175771971;0.000475059382;0.000475059382;0.002850356295;0.002375296912;0.000950118765;0.000950118765;0.002850356295;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.020902612827;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;0.000475059382;
0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.500000000000;0.013513513514;0.001351351351;0.006756756757;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.004054054054;0.001351351351;0.002702702703;0.001351351351;0.002702702703;0.001351351351;0.002702702703;0.002702702703;0.001351351351;0.001351351351;0.004054054054;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.002702702703;0.002702702703;0.001351351351;0.004054054054;0.004054054054;0.001351351351;0.002702702703;0.002702702703;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.012162162162;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;0.001351351351;
0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.013119533528;0.000728862974;0.022594752187;0.500000000000;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.002186588921;0.000728862974;0.002186588921;0.001457725948;0.007288629738;0.002186588921;0.001457725948;0.001457725948;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.002186588921;0.000728862974;0.000728862974;0.001457725948;0.006559766764;0.001457725948;0.002186588921;0.001457725948;0.000728862974;0.002186588921;0.008017492711;0.001457725948;0.000728862974;0.000728862974;0.002186588921;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.000728862974;0.016034985423;0.000728862974;0.000728862974;0.000728862974;0.000728862974;
0.008196721311;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.500000000000;0.010538641686;0.001170960187;0.011709601874;0.001170960187;0.001170960187;0.002341920375;0.001170960187;0.002341920375;0.001170960187;0.003512880562;0.002341920375;0.003512880562;0.002341920375;0.002341920375;0.003512880562;0.001170960187;0.002341920375;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.002341920375;0.001170960187;0.002341920375;0.008196721311;0.003512880562;0.005854800937;0.002341920375;0.004683840749;0.005854800937;0.001170960187;0.003512880562;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.015222482436;0.001170960187;0.001170960187;0.001170960187;0.001170960187;0.001170960187;
0.004991680532;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.018302828619;0.001663893511;0.014975041597;0.500000000000;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.003327787022;0.008319467554;0.001663893511;0.003327787022;0.001663893511;0.001663893511;0.001663893511;0.003327787022;0.003327787022;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.003327787022;0.009983361065;0.001663893511;0.004991680532;0.006655574043;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.014975041597;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;0.001663893511;
0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.500000000000;0.010504201681;0.002100840336;0.014705882353;0.002100840336;0.002100840336;0.006302521008;0.002100840336;0.002100840336;0.002100840336;0.004201680672;0.002100840336;0.004201680672;0.002100840336;0.002100840336;0.004201680672;0.004201680672;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.004201680672;0.002100840336;0.006302521008;0.006302521008;0.002100840336;0.002100840336;0.002100840336;0.006302521008;0.002100840336;0.004201680672;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.010504201681;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;0.002100840336;
