 ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.1502347418;0.0046948357;0.0093896714;0.0422535211;0.1314553991;0.0375586854;0.0375586854;0.0657276995;0.0375586854;0.0234741784;0.0328638498;0.0187793427;0.0422535211;0.0046948357;0.0046948357;0.0046948357;0.0093896714;0.0046948357;0.0046948357;0.0093896714;0.0046948357;0.0093896714;0.0046948357;0.0046948357;0.0046948357;0.0093896714;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0140845070;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0469483568;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0187793427;0.0093896714;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0046948357;0.0140845070;0.0046948357;0.0046948357;0.0234741784;0.0046948357;0.0046948357;
0.1387559809;0.0047846890;0.0047846890;0.0334928230;0.0956937799;0.0430622010;0.0382775120;0.0478468900;0.0191387560;0.0478468900;0.0622009569;0.0765550239;0.0526315789;0.0095693780;0.0047846890;0.0095693780;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0095693780;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0095693780;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0287081340;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0095693780;0.0047846890;0.0047846890;0.0047846890;0.0047846890;0.0191387560;0.0047846890;0.0047846890;0.0047846890;0.0143540670;0.0047846890;0.0047846890;0.0143540670;0.0047846890;0.0047846890;
0.1894736842;0.0052631579;0.0052631579;0.0473684211;0.1157894737;0.0421052632;0.0157894737;0.0210526316;0.0684210526;0.0210526316;0.0263157895;0.0157894737;0.0263157895;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0105263158;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0157894737;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0263157895;0.0052631579;0.0052631579;0.0052631579;0.0105263158;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0052631579;0.0105263158;0.0052631579;0.0052631579;0.0105263158;0.0052631579;0.0315789474;0.0052631579;0.0052631579;0.0052631579;0.0315789474;0.0052631579;0.0052631579;0.0210526316;0.0052631579;0.0052631579;
0.0713525027;0.0010649627;0.0138445154;0.0010649627;0.0010649627;0.0010649627;0.0021299255;0.0021299255;0.0021299255;0.0010649627;0.0021299255;0.0010649627;0.0010649627;0.0298189563;0.0010649627;0.0212992545;0.0063897764;0.0074547391;0.0095846645;0.0117145900;0.0042598509;0.0149094782;0.0063897764;0.0074547391;0.0074547391;0.0127795527;0.0181043663;0.0042598509;0.0095846645;0.0021299255;0.0095846645;0.1437699681;0.0181043663;0.0031948882;0.0287539936;0.0053248136;0.0053248136;0.0053248136;0.0010649627;0.0031948882;0.0021299255;0.0436634718;0.0085197018;0.0117145900;0.0223642173;0.0170394036;0.0138445154;0.0138445154;0.0042598509;0.0010649627;0.0010649627;0.0521831736;0.0543130990;0.0010649627;0.0532481363;0.0010649627;0.0234291800;0.0798722045;0.0308839191;0.0212992545;0.0170394036;0.0106496273;0.0074547391;0.0031948882;0.0031948882;0.0021299255;
0.0014184397;0.0014184397;0.0014184397;0.0042553191;0.0014184397;0.0042553191;0.0028368794;0.0014184397;0.0014184397;0.0042553191;0.0014184397;0.0014184397;0.0014184397;0.0851063830;0.0028368794;0.0539007092;0.0312056738;0.0184397163;0.0141843972;0.0212765957;0.0156028369;0.0156028369;0.0070921986;0.0070921986;0.0255319149;0.0340425532;0.0156028369;0.0184397163;0.1588652482;0.0014184397;0.0312056738;0.0695035461;0.0226950355;0.0269503546;0.0340425532;0.0156028369;0.0085106383;0.0056737589;0.0028368794;0.0028368794;0.0156028369;0.0141843972;0.0170212766;0.0099290780;0.0113475177;0.0056737589;0.0113475177;0.0099290780;0.0028368794;0.0042553191;0.0156028369;0.0113475177;0.0070921986;0.0042553191;0.0113475177;0.0014184397;0.0085106383;0.0170212766;0.0099290780;0.0042553191;0.0170212766;0.0070921986;0.0042553191;0.0014184397;0.0014184397;0.0014184397;
0.0356164384;0.0013698630;0.0041095890;0.0013698630;0.0013698630;0.0013698630;0.0013698630;0.0013698630;0.0013698630;0.0013698630;0.0013698630;0.0027397260;0.0013698630;0.0164383562;0.0013698630;0.0068493151;0.0054794521;0.0273972603;0.0136986301;0.0041095890;0.0054794521;0.0123287671;0.0109589041;0.0027397260;0.0013698630;0.0013698630;0.0041095890;0.0191780822;0.0410958904;0.0013698630;0.0082191781;0.0082191781;0.0041095890;0.0041095890;0.0027397260;0.0013698630;0.0013698630;0.0041095890;0.0013698630;0.0013698630;0.1301369863;0.0013698630;0.0013698630;0.0287671233;0.0013698630;0.0013698630;0.0013698630;0.0205479452;0.1205479452;0.0013698630;0.0013698630;0.0027397260;0.0684931507;0.2287671233;0.0041095890;0.0013698630;0.0027397260;0.0041095890;0.0493150685;0.0369863014;0.0027397260;0.0013698630;0.0013698630;0.0150684932;0.0013698630;0.0013698630;
0.0221729490;0.0022172949;0.0044345898;0.0022172949;0.0022172949;0.0022172949;0.0022172949;0.0044345898;0.0022172949;0.0022172949;0.0022172949;0.0022172949;0.0022172949;0.0044345898;0.0022172949;0.0110864745;0.0066518847;0.0133037694;0.0022172949;0.0022172949;0.0110864745;0.0155210643;0.0022172949;0.0066518847;0.0022172949;0.0022172949;0.0044345898;0.0110864745;0.0022172949;0.0044345898;0.0066518847;0.0110864745;0.0044345898;0.0044345898;0.0088691796;0.0044345898;0.0022172949;0.0022172949;0.0022172949;0.0022172949;0.1086474501;0.0022172949;0.0022172949;0.1618625277;0.0022172949;0.0022172949;0.0022172949;0.0753880266;0.0066518847;0.0022172949;0.0022172949;0.0022172949;0.0709534368;0.0953436807;0.0022172949;0.0022172949;0.0022172949;0.0022172949;0.1263858093;0.0997782705;0.0022172949;0.0022172949;0.0022172949;0.0110864745;0.0022172949;0.0022172949;
0.0778301887;0.0023584906;0.0047169811;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0353773585;0.0023584906;0.0165094340;0.0023584906;0.0047169811;0.0259433962;0.0023584906;0.0094339623;0.0023584906;0.0023584906;0.0023584906;0.0023584906;0.0283018868;0.0070754717;0.0070754717;0.0188679245;0.0023584906;0.0117924528;0.0660377358;0.0235849057;0.0047169811;0.0283018868;0.0047169811;0.0094339623;0.0023584906;0.0047169811;0.0023584906;0.0943396226;0.0141509434;0.0047169811;0.0023584906;0.0235849057;0.0141509434;0.0047169811;0.0165094340;0.0023584906;0.0023584906;0.0023584906;0.0400943396;0.0542452830;0.0070754717;0.0896226415;0.0188679245;0.0047169811;0.0165094340;0.0259433962;0.0141509434;0.0070754717;0.0023584906;0.0235849057;0.0070754717;0.0660377358;0.0023584906;
0.0654205607;0.0023364486;0.0046728972;0.0023364486;0.0023364486;0.0023364486;0.0023364486;0.0023364486;0.0046728972;0.0023364486;0.0023364486;0.0023364486;0.0023364486;0.0303738318;0.0023364486;0.0186915888;0.0023364486;0.0093457944;0.0046728972;0.0023364486;0.0046728972;0.0070093458;0.0093457944;0.0023364486;0.0093457944;0.0023364486;0.0070093458;0.0046728972;0.0116822430;0.0023364486;0.0070093458;0.0140186916;0.0116822430;0.0046728972;0.0046728972;0.0023364486;0.0023364486;0.0070093458;0.0023364486;0.0023364486;0.1939252336;0.0023364486;0.0023364486;0.1822429907;0.0023364486;0.0023364486;0.0023364486;0.1098130841;0.0023364486;0.0023364486;0.0046728972;0.0023364486;0.0023364486;0.0911214953;0.0023364486;0.0023364486;0.0023364486;0.0023364486;0.0467289720;0.0327102804;0.0023364486;0.0046728972;0.0023364486;0.0070093458;0.0023364486;0.0023364486;
0.0329341317;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.0089820359;0.0029940120;0.0029940120;0.0149700599;0.0089820359;0.0059880240;0.0029940120;0.0029940120;0.0179640719;0.0149700599;0.0029940120;0.0029940120;0.0089820359;0.0059880240;0.0389221557;0.0029940120;0.0029940120;0.0119760479;0.0029940120;0.0149700599;0.0059880240;0.0029940120;0.0029940120;0.0029940120;0.0059880240;0.0029940120;0.0029940120;0.1317365269;0.0029940120;0.0029940120;0.1437125749;0.0029940120;0.0029940120;0.0029940120;0.0508982036;0.0119760479;0.0029940120;0.0029940120;0.0059880240;0.0299401198;0.1227544910;0.0029940120;0.0029940120;0.0029940120;0.0029940120;0.1107784431;0.0538922156;0.0029940120;0.0059880240;0.0029940120;0.0089820359;0.0059880240;0.0029940120;
