 ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.8013865828;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0020142926;0.0000052049;0.0119556335;0.0292514847;0.0034664571;0.0065789816;0.0120389118;0.0119139944;0.0017072041;0.0066986941;0.0018477361;0.0034508424;0.0044605912;0.0013688862;0.0010878221;0.0116173156;0.0014625742;0.0008223727;0.0034508424;0.0048405482;0.0023369958;0.0045594841;0.0022849469;0.0295637781;0.0035497353;0.0044762058;0.0023474056;0.0000052049;0.0000052049;0.0292618945;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;0.0000052049;
0.0003435246;0.7956028856;0.0003435246;0.0006870491;0.0068704912;0.0006870491;0.0013740982;0.0006870491;0.0013740982;0.0027481965;0.0010305737;0.0068704912;0.0044658193;0.0003435246;0.0003435246;0.0006870491;0.0013740982;0.0010305737;0.0013740982;0.0017176228;0.0010305737;0.0054963930;0.0024046719;0.0072140158;0.0034352456;0.0030917211;0.0085881141;0.0133974579;0.0006870491;0.0006870491;0.0429405703;0.0003435246;0.0027481965;0.0020611474;0.0013740982;0.0006870491;0.0020611474;0.0027481965;0.0010305737;0.0013740982;0.0006870491;0.0010305737;0.0006870491;0.0013740982;0.0020611474;0.0006870491;0.0010305737;0.0041222947;0.0013740982;0.0044658193;0.0034352456;0.0020611474;0.0061834421;0.0072140158;0.0010305737;0.0010305737;0.0151150807;0.0010305737;0.0020611474;0.0030917211;0.0013740982;0.0017176228;0.0006870491;0.0017176228;0.0003435246;0.0010305737;
0.0003032141;0.0003032141;0.7810794421;0.0003032141;0.0821710127;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0018192844;0.0003032141;0.0018192844;0.0021224985;0.0036385688;0.0006064281;0.0018192844;0.0012128563;0.0106124924;0.0033353548;0.0045482110;0.0018192844;0.0039417829;0.0103092784;0.0178896301;0.0027289266;0.0009096422;0.0333535476;0.0018192844;0.0021224985;0.0051546392;0.0033353548;0.0009096422;0.0021224985;0.0048514251;0.0012128563;0.0012128563;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;0.0003032141;
0.0004940711;0.0004940711;0.0004940711;0.8147233202;0.0004940711;0.0004940711;0.0454545455;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0049407115;0.0004940711;0.0024703557;0.0009881423;0.0049407115;0.0044466403;0.0019762846;0.0024703557;0.0009881423;0.0014822134;0.0014822134;0.0019762846;0.0004940711;0.0009881423;0.0004940711;0.0004940711;0.0237154150;0.0004940711;0.0049407115;0.0034584980;0.0014822134;0.0019762846;0.0083992095;0.0029644269;0.0014822134;0.0019762846;0.0034584980;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0365612648;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;0.0004940711;
0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.8186231244;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0330979700;0.0004413063;0.0004413063;0.0004413063;0.0008826125;0.0008826125;0.0026478376;0.0004413063;0.0017652251;0.0017652251;0.0114739629;0.0035304501;0.0083848191;0.0039717564;0.0026478376;0.0075022065;0.0127978817;0.0008826125;0.0008826125;0.0198587820;0.0004413063;0.0008826125;0.0057369815;0.0013239188;0.0017652251;0.0013239188;0.0026478376;0.0008826125;0.0017652251;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0344218888;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;0.0004413063;
0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.7919708029;0.0267639903;0.0012165450;0.0218978102;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0024330900;0.0012165450;0.0036496350;0.0024330900;0.0097323601;0.0060827251;0.0012165450;0.0024330900;0.0024330900;0.0024330900;0.0024330900;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0024330900;0.0097323601;0.0012165450;0.0060827251;0.0085158151;0.0012165450;0.0036496350;0.0097323601;0.0024330900;0.0048661800;0.0024330900;0.0024330900;0.0012165450;0.0012165450;0.0012165450;0.0206812652;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;0.0012165450;
0.0006680027;0.0006680027;0.0006680027;0.0260521042;0.0006680027;0.0313961256;0.8189712759;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0033400134;0.0006680027;0.0026720107;0.0013360053;0.0086840347;0.0026720107;0.0013360053;0.0060120240;0.0013360053;0.0006680027;0.0020040080;0.0013360053;0.0013360053;0.0006680027;0.0020040080;0.0006680027;0.0106880428;0.0006680027;0.0033400134;0.0033400134;0.0013360053;0.0006680027;0.0140280561;0.0006680027;0.0020040080;0.0033400134;0.0033400134;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0006680027;0.0200400802;0.0006680027;0.0006680027;0.0006680027;0.0006680027;
0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.7545945946;0.0335135135;0.0010810811;0.0281081081;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0032432432;0.0032432432;0.0118918919;0.0054054054;0.0054054054;0.0021621622;0.0021621622;0.0075675676;0.0021621622;0.0032432432;0.0021621622;0.0054054054;0.0043243243;0.0010810811;0.0032432432;0.0032432432;0.0021621622;0.0129729730;0.0054054054;0.0064864865;0.0043243243;0.0032432432;0.0064864865;0.0021621622;0.0021621622;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0324324324;0.0010810811;0.0010810811;0.0010810811;0.0010810811;0.0010810811;
0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0272988506;0.0014367816;0.0272988506;0.7370689655;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0043103448;0.0043103448;0.0086206897;0.0057471264;0.0057471264;0.0114942529;0.0057471264;0.0014367816;0.0028735632;0.0028735632;0.0057471264;0.0014367816;0.0014367816;0.0028735632;0.0028735632;0.0014367816;0.0086206897;0.0100574713;0.0014367816;0.0086206897;0.0114942529;0.0014367816;0.0057471264;0.0028735632;0.0043103448;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0316091954;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;0.0014367816;
0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.7389635317;0.0230326296;0.0019193858;0.0172744722;0.0038387716;0.0019193858;0.0038387716;0.0038387716;0.0038387716;0.0019193858;0.0057581574;0.0019193858;0.0095969290;0.0038387716;0.0115163148;0.0057581574;0.0019193858;0.0019193858;0.0076775432;0.0019193858;0.0057581574;0.0019193858;0.0019193858;0.0076775432;0.0038387716;0.0076775432;0.0038387716;0.0019193858;0.0115163148;0.0038387716;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0307101727;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;0.0019193858;
